"","author","average","stddev"
"1","David Herbert Lawrence",31.6119604659234,7.36833477671162
"2","Hugh Garners",16.3132782552995,2.31036685215101
"3","Nancy Mitford",31.9735863573476,1.4899869407141
"4","Powell Anthony",34.6712310730322,1.63660000400265
